TEACHER_ID,TEACHER_NAME,START_YEAR,YEARS_OF_SERVICE,SCHOOL_ID
6835,Spencer Davis,2001,23,82140
66,Jared Miller,2003,17,99744
6079,David Walker,2000,19,31512
5256,Michael Ball,2000,22,52972
7483,Jessica Harris,2004,18,85428
6064,Jeff Bentley,2003,15,66349
42,Brittany Oconnor,2008,22,48483
2683,Caleb Moore,2002,21,36407
2133,Zachary Hale,2003,17,41030
9493,Teresa Thomas,2000,15,84439
7819,Daniel Farmer,2003,16,46219
5639,Jeremiah Lee,2003,20,39591
3489,Patricia Lozano,2002,15,2034
2746,Sheila Lopez,2007,23,24233
5698,Amanda Sullivan,2002,15,47752
3853,Erika Spencer,2006,15,22049
1462,Marcus Castaneda,2007,22,55019
2411,Melissa Baker,2008,17,81778
4995,Alexis Bowers,2007,19,72892
8629,Cody Peterson,2009,22,68834
2031,Erin Smith,2004,22,66431
9898,Maria Orozco,2003,21,55200
1788,Dana Garcia,2000,20,51570
2674,Brian Cummings,2004,20,76424
7756,Adam Mcguire,2008,18,72963
3581,Zachary Ford,2000,15,55739
4950,Geoffrey Jackson,2006,17,68436
5799,Alicia Ramirez,2007,15,91261
7035,Melvin Wilson,2002,20,82753
4627,Evan Blake,2004,15,9033
2094,Kristie Clements,2001,23,14181
6143,Christopher Munoz,2000,24,10553
8503,Deanna Gutierrez,2002,24,88281
5964,Donald Robinson,2000,16,61591
505,Courtney Cunningham,2003,23,54711
9616,Jessica Lopez,2001,23,25853
2727,Brian Thompson,2005,21,28767
5806,Anna Grant,2002,24,34709
3897,Nicole Campbell,2002,16,29118
1326,Jennifer Hill,2001,19,23049
2170,Veronica Simon,2005,21,36564
7207,Caleb Sanchez,2002,16,10829
5861,Michael Jackson,2008,17,31068
9025,Lindsay Lewis,2001,19,56829
9626,Bianca Burnett,2003,19,18067
4935,Alicia Sanchez,2001,15,15118
8485,Tamara Garcia,2004,23,83579
5088,Zachary Bernard,2006,17,32445
5250,David Williamson,2009,22,80835
1985,David Watson,2008,20,58676
3989,Jennifer Gibson,2002,20,92262
4230,Sophia Ortega,2000,15,21689
687,Susan Thomas,2009,18,8147
1628,Caitlin Luna,2000,23,62574
1269,Michael Kline,2005,20,75185
3105,Patty Vasquez,2003,22,71134
5758,Daniel Wolf,2000,15,89692
5813,Linda Carney,2000,23,98830
8157,Holly Lucas,2003,19,40262
4199,Regina Coffey,2005,17,1886
464,Frances Burton,2009,15,6670
6968,Kristin Booth,2000,21,11401
7524,Jacob Adkins,2006,16,34950
3448,John Cole,2001,24,94870
7790,Jeffrey Adams,2002,21,12322
7559,Tiffany Dodson,2001,20,45333
4200,Mindy Johnson,2002,15,98495
7608,Stephanie Boyd,2006,19,37446
7582,Leslie Baker,2004,24,79474
3178,Dana Brown,2008,18,51121
1702,Nicholas Coleman,2008,16,28779
6883,Richard Wang,2009,24,87843
4311,Michael Foster,2002,16,8066
2450,Larry Hoffman,2001,19,22484
7570,Steve Olson,2007,18,9948
4766,Angela Nelson,2001,20,42932
4659,Steven Sherman,2005,19,29174
1270,Michael Russell,2002,15,77013
8658,Ashley Sanchez,2003,18,13438
6224,Patricia Leblanc,2006,18,90143
